url	download_complete
www.ics.uci.edu/~eppstein/junkyard/pick3d.html	complete
fano.ics.uci.edu/cites/Author/Tommi-S-Jaakkola.html	complete
www.ics.uci.edu/~eppstein/pix/orcas/seattle/Butterfly2.html	complete
www.ics.uci.edu/~eppstein/junkyard/hyperpack.html	complete
fano.ics.uci.edu/cites/Document/Algorithms-for-drawing-media.html	complete
cml.ics.uci.edu/books	complete
vision.ics.uci.edu/people/29.html	complete
www.ics.uci.edu/~eppstein/pix/sv/brb/BackToFront.html	complete
wics.ics.uci.edu/winter-quarter-2017-week-4-crime-and-mystery-game-night	complete
www.ics.uci.edu/~eppstein/pix/orcas/emp/EMP9.html	complete
www.ics.uci.edu/~eppstein/pix/palm/Stalk.html	complete
fano.ics.uci.edu/cites/Publication/AgaShaWel-SCG-97.html	complete
fano.ics.uci.edu/cites/Document/Looking-for-a-common-view-for-mobile-worlds.html	complete
fano.ics.uci.edu/cites/Location/Proc-19th-Symp-Discrete-Algorithms.html	complete
www.ics.uci.edu/~eppstein/pix/bar/mj/HillSilhouette.html	complete
fano.ics.uci.edu/cites/Document/Implicit-and-nonparametric-shape-reconstruction-from-unorganized-data-using-a-variational-level-set-method-.html	complete
fano.ics.uci.edu/cites/Author/Jung-Hyun-Kim.html	complete
www.ics.uci.edu/~eppstein/gina/voronoi.html	complete
fano.ics.uci.edu/cites/Document/Choosing-subsets-with-maximum-weighted-average.html	complete
fano.ics.uci.edu/cites/Document/Graph-modeling-of-metabolism.html	complete
www.ics.uci.edu/~pazzani/Slides/MLC94/sld004.htm	complete
www.ics.uci.edu/~eppstein/pix/lbaq/TimSealTank.html	complete
www.ics.uci.edu/~eppstein/pix/bar/mj/Gateway.html	complete
fano.ics.uci.edu/cites/Author/Vasiliki-Chatzi.html	complete
vision.ics.uci.edu/papers/YarkonyF_NIPS_2015	complete
www.ics.uci.edu/~dgillen	complete
fano.ics.uci.edu/cites/Author/Patrick-Healy.html	complete
www.ics.uci.edu/~eppstein/numth/2adic.c	complete
fano.ics.uci.edu/cites/Organization/Hofstra-Univ-Mathematics-Dept.html	complete
www.ics.uci.edu/~eppstein/pix/sv/am/SleepOnShoulders.html	complete
fano.ics.uci.edu/cites/Author/Torben-Ae-Mogensen.html	complete
fano.ics.uci.edu/cites/Organization/Sharif-Univ-of-Technology-Electrical-Engineering-Dept.html	complete
fano.ics.uci.edu/cites/Author/Gene-Itkis.html	complete
www.ics.uci.edu/~eppstein/pix/pal/water/SkullOfTruth.html	complete
fano.ics.uci.edu/cites/Author/Vera-Rosta.html	complete
www.ics.uci.edu/~eppstein/recmath.html	complete
fano.ics.uci.edu/cites/Location/Proc-15th-Symp-Combinatorial-Pattern-Matching.html	complete
fano.ics.uci.edu/cites/Publication/RamSad-SODA-07.html	complete
fano.ics.uci.edu/cites/Document/Deformable-spanners-and-applications.html	complete
fano.ics.uci.edu/cites/Publication/NieRos-Algs-00.html	complete
fano.ics.uci.edu/cites/Author/Yannick-Copin.html	complete
fano.ics.uci.edu/cites/Organization/Kutztown-Univ-Mathematics-and-CIS-Dept.html	complete
cml.ics.uci.edu/2015/05/center-member-and-ics-dean-hal-stern-to-help-lead-national-effort-to-improve-criminal-evidence-analysis-cut-wrongful-convictions	complete
fano.ics.uci.edu/cites/Location/Proceedings-in-Informatics.html	complete
www.ics.uci.edu/~softtest/adamakegen.html	complete
fano.ics.uci.edu/cites/Author/Ram-Zamir.html	complete
fano.ics.uci.edu/cites/Location/Contemporary-Mathematics.html	complete
fano.ics.uci.edu/cites/Location/Mathematics-of-Computation.html	complete
fano.ics.uci.edu/cites/Location/IEEE-J-Selected-Areas-in-Communications.html	complete
emj.ics.uci.edu/cv	complete
fano.ics.uci.edu/cites/Organization/Univ-of-California-Los-Angeles-Computer-Science-Dept.html	complete
fano.ics.uci.edu/cites/Author/Charles-J-Colbourn.html	complete
fano.ics.uci.edu/cites/Publication/KakTol-CCCG-98.html	complete
fano.ics.uci.edu/cites/Document/Dynamic-graph-algorithms.html	complete
fano.ics.uci.edu/cites/Author/Jacob-Holm.html	complete
fano.ics.uci.edu/cites/Document/Delaunay-triangulations-and-computational-fluid-dynamics-meshes.html	complete
www.ics.uci.edu/grad/admissions	complete
cloudberry.ics.uci.edu	complete
fano.ics.uci.edu/cites/Author/Thilo-Bareuther.html	complete
fano.ics.uci.edu/cites/Publication/Emi-CGTA-02.html	complete
fano.ics.uci.edu/cites/Location/Proc-33rd-Symp-Theory-of-Computing.html	complete
fano.ics.uci.edu/cites/Location/Proc-Int-Conf-Internet-Computing-(IC-2002).html	complete
fano.ics.uci.edu/cites/Organization/Univ-of-California-Irvine-Dept-of-Cognitive-Science.html	complete
fano.ics.uci.edu/cites/Organization/Univ-of-Bielefeld-Faculty-of-Technology.html	complete
www.ics.uci.edu/~eppstein/pix/cc8/Tim2.html	complete
fano.ics.uci.edu/cites/Author/Pasi-Eronen.html	complete
www.ics.uci.edu/~softtest/taos.html	complete
www.ics.uci.edu/~tlatoza	complete
fano.ics.uci.edu/cites/Author/Edward-J-Coyle.html	complete
www.ics.uci.edu/~eppstein/gina/constraint.html	complete
fano.ics.uci.edu/cites/Location/Proc-7th-Symp-Computational-Geometry.html	complete
www.ics.uci.edu/~eppstein/ca/replicators/b01367s01-p60.lif	complete
fano.ics.uci.edu/cites/Author/Koduvayur-R-Parthasarathy.html	complete
www.ics.uci.edu/~eppstein/pix/t4bd/NicoBouncer2.html	complete
fano.ics.uci.edu/cites/Author/Samuele-Pedroni.html	complete
fano.ics.uci.edu/cites/Author/Z-Li.html	complete
mailman.ics.uci.edu/mailman/admin/ivecg-faculty	complete
fano.ics.uci.edu/cites/Author/Nikos-A-Vlassis.html	complete
fano.ics.uci.edu/cites/Document/New-computational-approaches-for-de-novo-peptide-sequencing-from-MSMS-experiments.html	complete
fano.ics.uci.edu/cites/Author/Hongxin-Zhang.html	complete
fano.ics.uci.edu/cites/Author/Matthew-J-Litke.html	complete
fano.ics.uci.edu/cites/Publication/BelLoeRic-Algs-04.html	complete
fano.ics.uci.edu/cites/Author/Marc-Alexander-Schweitzer.html	complete
fano.ics.uci.edu/cites/Author/Johannes-A-La-Poutre.html	complete
www.ics.uci.edu/~eppstein/pubs/usesgeom.html	complete
fano.ics.uci.edu/cites/Author/John-D-MacCuish.html	complete
fano.ics.uci.edu/cites/Author/V-T-Rajan.html	complete
fano.ics.uci.edu/cites/Author/Ovidiu-Daescu.html	complete
www.ics.uci.edu/~eppstein/pix/quadmeet04/SarahPoolsideFriends.html	complete
fano.ics.uci.edu/cites/Document/Fast-separator-decomposition-for-finite-element-meshes.html	complete
computableplant.ics.uci.edu/papers/XXX	complete
www.ics.uci.edu/~eppstein/ca/replicators/b368s12578.html	complete
fano.ics.uci.edu/cites/Publication/HagNow-ICALP-89.html	incomplete
sdcl.ics.uci.edu/2012/11/affinity-diagramming	complete
www.ics.uci.edu/~eppstein/pix/cc2/Egret.html	complete
www.ics.uci.edu/~thornton/ics46/Notes/TreeTraversals	complete
www.ics.uci.edu/~eppstein/pix/hotshots/bliz/JenniferHome1.html	complete
www-db.ics.uci.edu/pages/partners/index.shtml	complete
fano.ics.uci.edu/cites/Author/Georgiy-M-Levchuk.html	complete
fano.ics.uci.edu/cites/Document/Parallel-Delaunay-refinement-algorithms-and-analyses.html	complete
fano.ics.uci.edu/cites/Author/Michael-C-Loui.html	complete
www.ics.uci.edu/~eppstein/junkyard/model.html	complete
www.ics.uci.edu/~pazzani/Slides/MLC94/tsld014.htm	complete
cloudberry.ics.uci.edu/jianfeng-won-the-google-graduate-student-award-in-ics	complete
fano.ics.uci.edu/cites/Author/Roberto-Musmanno.html	complete
fano.ics.uci.edu/cites/Author/Joerg-Liesen.html	complete
fano.ics.uci.edu/cites/Publication/AgaSha-CST-95.html	complete
sdcl.ics.uci.edu/research/past-projects/lighthouse	complete
fano.ics.uci.edu/cites/Publication/BelDeLRic-SODA-00.html	complete
fano.ics.uci.edu/cites/Author/Pradosh-Kumar-Mohapatra.html	complete
www.ics.uci.edu/computing/email/google_vacation.php	complete
www.ics.uci.edu/~eppstein/pix/ham/KidsInHammock.html	complete
www.ics.uci.edu/~aburtsev/cs5460/lectures/midterm-pdf	complete
sdcl.ics.uci.edu/2015/06/welcome-gabriel	complete
www.ics.uci.edu/~eppstein/pix/mass/lax/index.html	complete
fano.ics.uci.edu/cites/Author/Bruce-Shapiro.html	complete
www.ics.uci.edu/computing/services/microsoft_imagine.php	complete
www.ics.uci.edu/~yug10/webpage/publication.html	complete
fano.ics.uci.edu/cites/Author/Prosenjit-K-Bose.html	complete
computableplant.ics.uci.edu/papers/2005/CVPR-2005-Abstract.html	complete
cml.ics.uci.edu/2010/05/2010_lixieintel	complete
www.ics.uci.edu/ugrad/advising/New Transfer Students.php	complete
www.ics.uci.edu/~thornton/ics32/Notes/PythonBasics	complete
wics.ics.uci.edu/wics-week-0-meet-and-greet	complete
fano.ics.uci.edu/cites/Author/Giovanni-Rinaldi.html	complete
fano.ics.uci.edu/cites/Author/Kazuhisa-Makino.html	complete
www.ics.uci.edu/~kay/courses/i41/final.html	complete
fano.ics.uci.edu/cites/Document/Consecutive-interval-query-and-dynamic-programming-on-intervals.html	complete
fano.ics.uci.edu/cites/Location/Proc-7th-Int-Conf-in-Central-Europe-on-Computer-Graphics-Visualization-and-Interactive-Digital-Media-(WSCG-1999).html	complete
www.ics.uci.edu/about/annualreport/2006-07/index.php	complete
www.ics.uci.edu/~pazzani/Slides/CogSci95/sld006.htm	complete
fano.ics.uci.edu/cites/Document/Edges-and-switches-tunnels-and-bridges.html	complete
isg.ics.uci.edu	complete
www.ics.uci.edu/~sudderth/bio	complete
www.ics.uci.edu/~kay/courses/i42	complete
fano.ics.uci.edu/cites/Location/Abstracts-of-the-AMS.html	complete
fano.ics.uci.edu/cites/Location/Proc-10th-Symp-Theoretical-Aspects-of-Computer-Science-(STACS-1993).html	complete
www.ics.uci.edu/~eppstein/pix/action/hotshots-b-jh2.html	complete
fano.ics.uci.edu/cites/Publication/Gal-ACAPS-95.html	complete
fano.ics.uci.edu/cites/Location/Proc-2nd-Eur-Symp-Algorithms-(ESA-1994).html	complete
fano.ics.uci.edu/cites/Location/Proc-18th-Symp-Computational-Geometry.html	complete
www.ics.uci.edu/grad/funding/index	complete
fano.ics.uci.edu/cites/Organization/Colorado-State-Univ-Dept-of-Computer-Science.html	complete
fano.ics.uci.edu/cites/Location/ICGA-J.html	complete
www.ics.uci.edu/~iftekha/publication/on-the-limits-of-mutation-reduction-strategies	complete
support.ics.uci.edu/ics.system/feed.xml	complete
fano.ics.uci.edu/cites/Author/Jochen-Alber.html	complete
www.ics.uci.edu/~eppstein/pix/clouds/Clouds.html	complete
isg.ics.uci.edu/research_staff	complete
www.ics.uci.edu/ugrad/admissions/transfer/index.php	complete
vision.ics.uci.edu/papers/GehlerHW_ICML_2006	complete
fano.ics.uci.edu/cites/Organization/IBM-Deutschland-Speichersysteme-GmbH.html	complete
fano.ics.uci.edu/cites/Publication/Tho-Algs-99.html	complete
fano.ics.uci.edu/cites/Publication/ShedeS-NGG-00.html	complete
mhcid.ics.uci.edu/program/curriculum	complete
fano.ics.uci.edu/cites/Location/Proc-11th-Eur-Symp-Algorithms-(ESA-2003).html	complete
www.ics.uci.edu/ugrad/policies/Change_of_Major.php	incomplete
fano.ics.uci.edu/cites/Publication/FreJonPla-TR-97.html	complete
www.ics.uci.edu/~eppstein/ca/replicators/b02346s023-rep12c4.lif	complete
fano.ics.uci.edu/cites/Document/Optimal-coarsening-of-unstructured-meshes.html	complete
www.ics.uci.edu/~theory/269/index.rss	complete
www.ics.uci.edu/~eppstein/pubs/p-3poly.html	complete
vision.ics.uci.edu/papers/MartinFM_PAMI_2003	complete
www.ics.uci.edu/~eppstein/pubs/p-disc.html	complete
fano.ics.uci.edu/cites/Organization/Univ-de-Sao-Paulo-Inst-de-Matematica-e-Estatistica.html	complete
www.ics.uci.edu/~eppstein/pix/sv/men/SaraMaureen.html	complete
fano.ics.uci.edu/cites/Author/Xiao-Zhao.html	complete
www.ics.uci.edu/~eppstein/pix/sv/brb/index.html	complete
www.ics.uci.edu/faculty/area/area_software.php	complete
fano.ics.uci.edu/cites/Organization/Cambridge-Press.html	incomplete
fano.ics.uci.edu/cites/Location/Proc-6th-Int-Conf-Computing-and-Combinatorics-(COCOON-2000).html	complete
fano.ics.uci.edu/cites/Author/Marek-Chrobak.html	complete
www.ics.uci.edu/computing/account/faqs.php	complete
www.ics.uci.edu/ugrad/policies/index.php/CS199_IN4MATX199.php	complete
fano.ics.uci.edu/cites/Document/A-simple-algorithm-for-homeomorphic-surface-reconstruction.html	complete
fano.ics.uci.edu/cites/Organization/Seoul-Nat-Univ-Dept-of-Computer-Engineering.html	complete
www.ics.uci.edu/~thornton/ics46/Schedule.html	complete
fano.ics.uci.edu/cites/Publication/Ulb-CCCG-99.html	incomplete
fano.ics.uci.edu/cites/Document/Trends-and-developments-in-computational-geometry.html	complete
www.ics.uci.edu/ugrad/policies/degrees/index.php	complete
fano.ics.uci.edu/cites/Author/Celena-Tanguay.html	complete
fano.ics.uci.edu/cites/Publication/AgaDes-SODA-97.html	complete
fano.ics.uci.edu/cites/Organization/Chalmers-Univ-of-Technology-Inst-fuer-Datavetenskap.html	complete
fano.ics.uci.edu/cites/Review/MR-97c05052.html	complete
wics.ics.uci.edu/annual-mentorship-program-2013	complete
fano.ics.uci.edu/cites/Author/P-Hastreiter.html	complete
fano.ics.uci.edu/cites/Author/Antoine-Vigneron.html	complete
fano.ics.uci.edu/glider.db	complete
fano.ics.uci.edu/cites/Document/Bi-directional-search-in-QoS-routing.html	complete
fano.ics.uci.edu/cites/Author/D-Jose-Caceres-Gonzalez.html	complete
fano.ics.uci.edu/cites/Organization/Ecole-Nat-Sup-des-Telecommunications-Signal-and-Image-Processing-Dept.html	complete
fano.ics.uci.edu/cites/Author/Stefan-Heinrich.html	complete
fano.ics.uci.edu/cites/Location/Proc-Int-Worksh-Visualization-and-Animation-of-Reality-Based-3D-Models.html	complete
fano.ics.uci.edu/cites/Organization/Czech-Technical-Univ-of-Prague-Dept-of-Computer-Science-and-Engineering.html	complete
vision.ics.uci.edu/papers/Sangmin_CVPR_2011	complete
www.ics.uci.edu/~eppstein/pix/hotshots/bliz/Safe3rd.html	complete
fano.ics.uci.edu/cites/Document/How-hard-is-computing-the-edit-distance.html	complete
fano.ics.uci.edu/cites/Author/A-James-Stewart.html	incomplete
fano.ics.uci.edu/ca/rules/b367s3678/g1.lif	complete
fano.ics.uci.edu/cites/Organization/Technion-Israel-Inst-Technology-Dept-of-Electrical-Engineering.html	complete
vision.ics.uci.edu/pocv2012/people.html	complete
www.ics.uci.edu/~skong2/worm.html	complete
www.ics.uci.edu/~eppstein/pix/bar/parg/Pigeon.html	complete
www.ics.uci.edu/~eppstein/junkyard/thickness	complete
www.ics.uci.edu/~amezasor	complete
fano.ics.uci.edu/cites/Author/M-A-Mostafavi.html	complete
sdcl.ics.uci.edu/knocap	complete
wics.ics.uci.edu	complete
www.ics.uci.edu/~eppstein/pix/winter0203.html	complete
www.ics.uci.edu/~iftekha/publication/can-testedness-be-effectively-measured	complete
fano.ics.uci.edu/cites/Organization/Univ-of-Bergen-Dept-of-Informatics.html	complete
fano.ics.uci.edu/cites/Publication/FlePykSel-IEICE-99.html	complete
webmail.ics.uci.edu	complete
futurehealth.ics.uci.edu/resources/videos	complete
fano.ics.uci.edu/cites/Organization/Univ-of-Tokyo-Dept-of-Urban-Engineering.html	complete
fano.ics.uci.edu/cites/Organization/Kluwer-Academic-Publishing.html	complete
fano.ics.uci.edu/cites/Document/Layer-based-solutions-for-constrained-space-time-meshing.html	complete
fano.ics.uci.edu/cites/Document/Simultaneous-embedding-of-planar-graphs-with-few-bends.html	complete
fano.ics.uci.edu/cites/Author/Fangting-Sun.html	complete
fano.ics.uci.edu/cites/Author/Dani-Lischinski.html	complete
vision.ics.uci.edu/pocv2012/program.html	complete
www.ics.uci.edu/~thornton/ics21/CourseReference.html	complete
cml.ics.uci.edu/2008/09/2008_speakerseries0809	complete
www.ics.uci.edu/~eppstein/pix/cabrillo/index.html	complete
fano.ics.uci.edu/cites/Author/Peter-Bro-Miltersen.html	complete
fano.ics.uci.edu/cites/Publication/AryCheMou-SWAT-00.html	complete
www.ics.uci.edu/~eppstein/pix/bar/sf/SagradaFamilia.html	complete
wics.ics.uci.edu/wics-attends-gracehopper-conference-2016	complete
sdcl.ics.uci.edu/2018/07/marian-petre-in-collaboration-with-sdcl	complete
fano.ics.uci.edu/cites/Organization/Indiana-Univ-of-Pennsylvania-Dept-of-Mathematics.html	complete
fano.ics.uci.edu/cites/Location/Proc-7th-Int-Symp-Graph-Drawing-(GD-1999).html	complete
fano.ics.uci.edu/cites/Location/Proc-20th-Symp-Principles-of-Programming-Languages.html	complete
fano.ics.uci.edu/cites/Location/Proc-41st-Conf-Decision-and-Control-(CDC-2002).html	complete
cml.ics.uci.edu/2014/08/2014_deep	complete
www.ics.uci.edu/~eppstein/pix/mendocino3/HouseOnKellySt.html	complete
fano.ics.uci.edu/cites/Publication/MitMouSur-IJCGA-97.html	complete
fano.ics.uci.edu/cites/Review/MR-95e68168.html	complete
www.ics.uci.edu/~sternh	complete
www.ics.uci.edu/~theory/269/190118.html	complete
fano.ics.uci.edu/cites/Organization/Worcester-Polytechnic-Inst-Computer-Science-Dept.html	complete
www.ics.uci.edu/~emj/people.html	complete
www.ics.uci.edu/~eppstein/pix/uhfall/LavenderPumpkins.html	complete
www.ics.uci.edu/~eppstein/pix/quadmeet04/Julia.html	complete
fano.ics.uci.edu/cites/Author/Silvia-Biasotti.html	complete
fano.ics.uci.edu/cites/Location/Proc-1st-Int-Conf-Optical-Communications-and-Networks-(ICOCN-2002).html	complete
support.ics.uci.edu/computing/students	complete
fano.ics.uci.edu/cites/Author/Noga-Alon.html	complete
www.ics.uci.edu/computing/network	complete
fano.ics.uci.edu/cites/Document/Graph-theoretical-conditions-for-inscribability-and-Delaunay-realizability.html	complete
fano.ics.uci.edu/cites/Document/Dynamic-three-dimensional-linear-programming.html	complete
fano.ics.uci.edu/cites/Publication/LaP-PhD-91.html	complete
fano.ics.uci.edu/cites/Organization/Univ-of-Melbourne-Dept-of-Geomatics.html	complete
fano.ics.uci.edu/cites/Organization/Radan-Computational-Ltd.html	complete
fano.ics.uci.edu/cites/Publication/CheDaeHu-Algs-03.html	complete
fano.ics.uci.edu/cites/Organization/Graz-Univ-of-Tech-Inst-for-Theoretical-Computer-Science.html	complete
fano.ics.uci.edu/cites/Organization/Cadence-Design-Systems-Inc.html	complete
www.ics.uci.edu/community/news/student_blogs/blog_posts/Ittai-Mann-December2017.php	complete
fano.ics.uci.edu/cites/Location/Transportation-Research-Record.html	complete
fano.ics.uci.edu/cites/Document/Conformal-refinement-of-all-quadrilateral-and-all-hexahedral-meshes-according-to-an-anisotropic-metric.html	complete
fano.ics.uci.edu/cites/Document/Geometric-discrepancy-revisited.html	complete
fano.ics.uci.edu/cites/Organization/Oklahoma-State-Univ-Dept-of-Mathematics.html	complete
fano.ics.uci.edu/cites/Author/Edo-S-van-der-Poort.html	complete
fano.ics.uci.edu/cites/Organization/Auburn-Univ-Department-of-Discrete-and-Statistical-Sciences.html	complete
fano.ics.uci.edu/cites/Document/Drawing-planar-graphs-symmetrically-III-one-connected-planar-graphs.html	complete
ngs.ics.uci.edu/controlling-health	incomplete
fano.ics.uci.edu/cites/Publication/LauKil-LCS-03.html	complete
fano.ics.uci.edu/cites/Author/R-Kelley-Pace.html	complete
fano.ics.uci.edu/cites/Author/Giorgio-Ausiello.html	complete
www.ics.uci.edu/~iftekha/publication/does-the-choice-of-mutation-tool-matter	complete
fano.ics.uci.edu/cites/Location/Proc-33rd-Design-Automation-Conf.html	complete
wics.ics.uci.edu/first-annual-wics-games	complete
fano.ics.uci.edu/cites/Publication/JaeHueSch-APOC-02.html	complete
wics.ics.uci.edu/fall-quarter-2017-week-0-wics-social	complete
fano.ics.uci.edu/cites/Author/Wynne-Hsu.html	complete
fano.ics.uci.edu/cites/Author/Marcelo-Siqueira.html	complete
fano.ics.uci.edu/cites/Publication/Aft-TR-99.html	complete
www.ics.uci.edu/~eppstein/pubs/geom.html	complete
fano.ics.uci.edu/cites/Document/Arrangements-and-their-applications.html	complete
fano.ics.uci.edu/cites/Author/Ernst-W-Mayr.html	complete
fano.ics.uci.edu/cites/Document/On-mixed-connectivity-certificates.html	complete
fano.ics.uci.edu/cites/Author/Sylvain-Pion.html	complete
www.ics.uci.edu/~kay/pubs/uclahonors.html	complete
fano.ics.uci.edu/cites/Organization/Neurotec-Corp.html	complete
fano.ics.uci.edu/cites/Organization/Univ-de-Buenos-Aires-Dep-de-Computacion.html	complete
fano.ics.uci.edu/cites/Organization/Univ-of-California-Los-Angeles-Dept-of-Mathematics.html	complete
fano.ics.uci.edu/cites/Location/Proc-1st-Symp-Discrete-Algorithms.html	complete
fano.ics.uci.edu/cites/Publication/AgaArgYan-ESA-03.html	incomplete
www.ics.uci.edu/computing/services/printing.php	complete
www.ics.uci.edu/~eppstein/pix/uhfall/MagnoliaLeaf.html	complete
cml.ics.uci.edu/2015/01/anima-anandkumar-receives-afosr-young-investigator-award	incomplete
www.ics.uci.edu/~umukherj	complete
fano.ics.uci.edu/cites/Document/Approximating-the-minimum-weight-Steiner-triangulation.html	incomplete
fano.ics.uci.edu/cites/Organization/Gamma-Remote-Sensing-AG.html	complete
futurehealth.ics.uci.edu/news-events/uci-events	complete
fano.ics.uci.edu/cites/Author/Xiao-Tie-Deng.html	complete
fano.ics.uci.edu/cites/Location/Proc-21st-Conf-Computer-Graphics-and-Interactive-Techniques-(SIGGRAPH-1994).html	complete
www.ics.uci.edu/~eppstein/junkyard/inversion-preserves-circles.html	complete
fano.ics.uci.edu/cites/Author/Ferran-Hurtado-Diaz.html	complete
www.ics.uci.edu/~eppstein/pix/iday04/BlanketMakers.html	incomplete
www.ics.uci.edu/~eppstein/pix/sv/mad/MadonnaStairs.html	complete
www.ics.uci.edu/~thornton/ics21/LabManual/SettingUpJava.html	complete
www.ics.uci.edu/community/alumni/mentor	complete
fano.ics.uci.edu/cites/Location/Proc-IEEE.html	complete
fano.ics.uci.edu/cites/Location/J-High-Speed-Networks.html	complete
www.ics.uci.edu/faculty/area/area_compgraphics.php	complete
fano.ics.uci.edu/cites/Author/Eyal-Flato.html	complete
fano.ics.uci.edu/cites/Author/Friedemann-Mattern.html	complete
fano.ics.uci.edu/cites/Author/Frederick-Crimins.html	incomplete
fano.ics.uci.edu/cites/Author/Jacques-Calmet.html	complete
fano.ics.uci.edu/cites/Organization/Yokohama.html	complete
fano.ics.uci.edu/cites/Author/Satyan-R-Coorg.html	incomplete
fano.ics.uci.edu/cites/Author/Francis-Y-L-Chin.html	complete
fano.ics.uci.edu/cites/Document/Tessellations-of-cuboids-with-Steiner-points.html	complete
wics.ics.uci.edu/spring-quarter-2017-week-3-riot-tour	complete
fano.ics.uci.edu/cites/Document/Flow-simulation-and-high-performance-computing.html	complete
